trans_id,balance,client_id,district_id,account_id
1000605,36195,4129,75,3415
1000611,29813,4129,75,3415
1001366,33442,4132,42,3418
1001370,26597,4132,42,3418
1001374,45892,4132,42,3418
1001377,87332,4132,42,3418
1001379,14316,4132,42,3418
1001629,17751,4134,1,3419
1001630,20474,4134,1,3419
1001637,23528,4134,1,3419
1001639,25964,4134,1,3419
1001640,28881,4134,1,3419
1001642,22817,4134,1,3419
1001644,28434,4134,1,3419
1001648,36422,4134,1,3419
1001653,28989,4134,1,3419
1001656,27587,4134,1,3419
1001657,25408,4134,1,3419
1001658,31258,4134,1,3419
1001661,21835,4134,1,3419
1001664,20996,4134,1,3419
1001679,39282,4134,1,3419
1001685,23265,4134,1,3419
1001690,18382,4134,1,3419
1001691,19812,4134,1,3419
1001695,20158,4134,1,3419
1001699,25432,4134,1,3419
1001700,28349,4134,1,3419
1001701,19710,4134,1,3419
1001704,27902,4134,1,3419
1001705,32452,4134,1,3419
1001714,24695,4134,1,3419
1001716,27055,4134,1,3419
1001718,21866,4134,1,3419
1001721,21303,4134,1,3419
1001722,21128,4134,1,3419
1001724,20464,4134,1,3419
1001741,26135,4134,1,3419
1001742,21453,4134,1,3419
1001743,14840,4134,1,3419
1001745,16859,4134,1,3419
1001749,10813,4134,1,3419
1001751,15086,4134,1,3419
1001752,16123,4134,1,3419
1001753,17145,4134,1,3419
1001759,19026,4134,1,3419
1001760,16019,4134,1,3419
1001762,15879,4134,1,3419
1001764,21496,4134,1,3419
1001766,23923,4134,1,3419
1001768,29484,4134,1,3419
1001770,22334,4134,1,3419
1001772,15843,4134,1,3419
1001774,16689,4134,1,3419
1001775,18119,4134,1,3419
1001777,18470,4134,1,3419
1001778,18396,4134,1,3419
100204,24441,420,18,343
100206,23183,420,18,343
100207,22047,420,18,343
100208,21589,420,18,343
100214,15824,420,18,343
100215,18244,420,18,343
100216,18471,420,18,343
477641,13562,1973,60,1628
477643,22156,1973,60,1628
477652,15845,1973,60,1628
477655,16988,1973,60,1628
477658,18553,1973,60,1628
477659,20040,1973,60,1628
477662,20223,1973,60,1628
477666,17982,1973,60,1628
477667,19466,1973,60,1628
477668,20956,1973,60,1628
477672,20964,1973,60,1628
477673,18537,1973,60,1628
477680,21088,1973,60,1628
477689,18723,1973,60,1628
477692,22796,1973,60,1628
477695,27323,1973,60,1628
477697,26266,1973,60,1628
477704,21773,1973,60,1628
477706,20599,1973,60,1628
477707,20569,1973,60,1628
477720,15741,1973,60,1628
477722,16888,1973,60,1628
477725,13044,1973,60,1628
477726,11238,1973,60,1628
477728,14192,1973,60,1628
477734,15947,1973,60,1628
477735,14399,1973,60,1628
477736,10757,1973,60,1628
477744,16688,1973,60,1628
477749,12360,1973,60,1628
477753,14252,1973,60,1628
477755,15457,1973,60,1628
477757,16275,1973,60,1628
477759,16123,1973,60,1628
477763,17025,1973,60,1628
477772,13703,1973,60,1628
477778,16323,1973,60,1628
477779,16293,1973,60,1628
477781,19284,1973,60,1628
478,35026,2,1,2
